ReceiptID,WarehouseID,OrderID,TenderID,SupplierID,ReceiptDate,Level1Category,Level2Category,Level3Category,ItemCode,Remarks,UnitOfMeasure,ShapeCode,SourceCode,BatchNo,PackSize,OnHold,IsStop,ExpiryDate,PaletteID,Locator,QtyOnHand,QtyReserved,QtyAvailable,UnitCost,QtyOnHold,SalesUnit,TotalSales,PackageType,QtyPerPalette,Length_cm,Width_cm,Height_cm,Volume_cm3,TotalPallets,Weight_kg,SupplierName,SupplierAddress,Manufacturer,SupplierContact,SuppliedDate,WarehouseLocation,ProcurementFee,LPO_Number
RCPT-000001,WH-C,ORD-000001,TDR-2963,SUP-725,2024-02-10,Laboratory,Reagents,Immunology,MED-IMM-4123,,Piece,SQR,IMPORT,BATCH-87751,97,False,True,2024-08-17,PAL-274,LOC-C14,570,91,458,4.2,21,Carton,2188.07,Plastic,84,21,84,37,65268,8,25.08,Nelson-Lambert,"9513 King Port Suite 270, West Meganside, MI 39860",Lang-Huang,815.218.8587,2024-02-05,Cold Storage,205.25,LPO-000001
RCPT-000002,WH-B,ORD-000002,TDR-8583,SUP-704,2025-06-16,Medical Equipment,Monitoring,Pulse Oximeter,MED-PUL-7382,Refrigerated,Vial,CYL,IMPORT,BATCH-56710,66,True,True,2028-03-16,PAL-422,LOC-A13,535,6,459,301.34,70,Carton,179533.53,Wooden,54,47,38,13,23218,2,5.39,Fowler-Koch,"10626 Rogers Island Suite 126, South Robert, NJ 10164","Herrera, Brown and Sanchez",917.311.2606x42121,2025-06-09,Cold Storage,213.54,LPO-000002
RCPT-000003,WH-C,ORD-000003,TDR-5491,SUP-528,2024-03-21,Pharmaceuticals,Analgesics,Paracetamol,MED-PAR-6573,Urgent,Vial,RECT,IMPORT,BATCH-97046,39,True,False,2026-04-28,PAL-488,LOC-C42,277,12,261,298.89,4,Box,97229.38,Wooden,71,94,79,30,222780,13,34.31,Perry-Barber,"820 Virginia Freeway, Jonport, MH 28798","Reed, York and Estrada",001-688-630-2749x11089,2024-03-18,Dispatch,219.71,LPO-000003
RCPT-000004,WH-A,ORD-000004,TDR-2804,SUP-507,2024-08-28,Medical Equipment,Diagnostic,Thermometer,MED-THE-6790,,Box,RECT,DONATION,BATCH-72007,94,False,True,2027-07-17,PAL-383,LOC-A13,346,73,259,152.48,14,Carton,57632.57,Plastic,77,120,54,15,97200,20,1.22,Jackson-Daniel,"19201 Cooper Inlet Apt. 249, North Amber, NJ 37158",Donovan and Sons,710.540.6104x37104,2024-08-27,Main,320.71,LPO-000004
RCPT-000005,WH-C,ORD-000005,TDR-9687,SUP-119,2024-03-24,Laboratory,Test Kits,COVID-19,MED-COV-2785,Priority,Box,CYL,IMPORT,BATCH-86038,75,False,False,2027-02-12,PAL-506,LOC-A16,992,169,641,492.09,182,Piece,567844.98,Cardboard,86,127,69,47,411861,3,13.36,"Bond, Ramirez and Silva","Unit 2297 Box 4408, DPO AA 24813",Harris PLC,(750)370-8799,2024-03-22,Cold Storage,223.86,LPO-000005
RCPT-000006,WH-B,ORD-000006,TDR-3496,SUP-780,2024-07-15,Laboratory,Reagents,Biochemical,MED-BIO-8059,Fragile,Box,IRR,LOCAL,BATCH-90161,39,False,True,2025-08-27,PAL-300,LOC-B19,965,163,760,447.01,42,Piece,353774.11,Wooden,12,193,39,33,248391,18,0.59,"Zimmerman, Hernandez and Daniels","55962 Katrina Knolls Apt. 563, Pittmantown, MH 42166","Ware, Rivera and Higgins",575.593.4999,2024-07-08,Cold Storage,391.22,LPO-000006
RCPT-000007,WH-B,ORD-000007,TDR-8293,SUP-960,2024-07-11,Consumables,Bandages,Elastic,MED-ELA-9454,Priority,Bottle,RECT,DONATION,BATCH-75941,73,True,True,2026-09-12,PAL-331,LOC-A44,264,65,151,136.33,48,Carton,39613.85,Wooden,36,49,57,24,67032,18,34.18,"Thornton, Casey and Clarke","56424 Chung Cape Apt. 433, Whitestad, SD 69731",Chapman-Parks,001-615-598-4885x504,2024-07-08,Cold Storage,496.49,LPO-000007
RCPT-000008,WH-A,ORD-000008,TDR-8999,SUP-173,2024-06-09,Consumables,Syringes,1ml,MED-1ML-9317,Fragile,Piece,IRR,LOCAL,BATCH-67423,37,False,False,2025-09-25,PAL-936,LOC-B5,422,96,287,328.39,39,Piece,146217.61,Cardboard,50,79,16,42,53088,1,8.46,Scott Inc,"PSC 5964, Box 8914, APO AA 91911",Salinas-Johnson,800.214.7572,2024-06-06,Dispatch,72.85,LPO-000008
RCPT-000009,WH-C,ORD-000009,TDR-3131,SUP-258,2025-05-24,Medical Equipment,Therapeutic,Nebulizer,MED-NEB-4520,,Pack,RECT,DONATION,BATCH-20416,86,True,False,2027-04-20,PAL-656,LOC-B2,55,7,47,103.3,1,Carton,4666.17,Wooden,74,20,71,40,56800,3,1.7,Smith and Sons,"174 Christopher Route, Gabrielaburgh, CO 91893","Khan, Williams and Gonzalez",(311)747-0098,2025-05-23,Quarantine,136.54,LPO-000009
RCPT-000010,WH-C,ORD-000010,TDR-3300,SUP-220,2025-12-07,Consumables,Masks,Surgical,MED-SUR-5610,Refrigerated,Pack,CYL,IMPORT,BATCH-55654,64,False,True,2028-06-22,PAL-531,LOC-C35,433,55,337,415.56,41,Carton,163479.25,Wooden,89,106,55,49,285670,1,32.33,Ellis-Perez,"44420 Smith Ford, East Andrewton, GA 29669",Foster Ltd,(955)429-6026x0401,2025-11-30,Main,251.34,LPO-000010
RCPT-000011,WH-A,ORD-000011,TDR-5310,SUP-953,2025-07-07,Laboratory,Reagents,Immunology,MED-IMM-1479,Priority,Piece,SQR,DONATION,BATCH-41307,46,True,False,2026-11-01,PAL-159,LOC-C18,224,42,178,477.69,4,Carton,118506.92,Plastic,18,65,36,6,14040,4,44.82,"Miller, Davis and York","2043 Donald Square, Kristinaville, ID 76405",Richmond-Montgomery,425.892.3768x208,2025-07-01,Main,343.32,LPO-000011
RCPT-000012,WH-B,ORD-000012,TDR-3598,SUP-410,2024-05-12,Pharmaceuticals,Analgesics,Ibuprofen,MED-IBU-2741,Fragile,Box,CYL,LOCAL,BATCH-94852,51,True,False,2024-11-16,PAL-833,LOC-A37,988,236,576,439.86,176,Carton,517286.54,Wooden,25,59,81,8,38232,18,5.91,Chambers LLC,"41957 Madison Cove Apt. 035, Michaelshire, IL 37077",Allison-Fowler,2799955613,2024-05-06,Quarantine,124.49,LPO-000012
RCPT-000013,WH-C,ORD-000013,TDR-6744,SUP-719,2023-12-29,Pharmaceuticals,Antibiotics,Ciprofloxacin,MED-CIP-2750,Urgent,Box,RECT,IMPORT,BATCH-22189,80,False,False,2025-06-10,PAL-327,LOC-A3,261,64,196,65.9,1,Box,15051.68,Wooden,62,143,18,23,59202,1,22.57,Murphy and Sons,"4970 Vang Grove Apt. 190, Clineshire, NJ 20437","Villa, Harvey and Allen",228-328-0991,2023-12-23,Main,84.72,LPO-000013
RCPT-000014,WH-B,ORD-000014,TDR-2438,SUP-656,2025-01-11,Laboratory,Reagents,Biochemical,MED-BIO-3521,Refrigerated,Piece,RECT,LOCAL,BATCH-24795,30,False,False,2026-04-16,PAL-194,LOC-A27,618,123,452,14.61,43,Piece,10346.27,Wooden,80,69,85,45,263925,11,41.53,Moore-Martin,"141 Williams Loop Apt. 179, Danielleton, TN 59448",Ochoa-Hernandez,(374)959-3541,2025-01-09,Main,187.83,LPO-000014
RCPT-000015,WH-B,ORD-000015,TDR-7177,SUP-934,2025-12-23,Laboratory,Reagents,Hematology,MED-HEM-2928,Fragile,Bottle,SQR,DONATION,BATCH-28188,16,True,True,2027-03-06,PAL-457,LOC-C9,699,192,460,442.55,47,Piece,300962.22,Plastic,53,169,72,50,608400,4,28.48,Schultz Group,"94221 Debra Stravenue Suite 423, Camposchester, IL 13929",Kramer-Miller,950-475-9305x64724,2025-12-20,Main,484.84,LPO-000015
RCPT-000016,WH-B,ORD-000016,TDR-5372,SUP-737,2025-06-04,Consumables,Masks,N95,MED-N95-2891,Refrigerated,Bottle,RECT,LOCAL,BATCH-45289,44,False,False,2026-04-25,PAL-945,LOC-A12,632,46,573,230.5,13,Carton,171112.66,Cardboard,18,168,32,40,215040,2,24.4,Petersen Group,"1086 Wagner Row, New Jessicaside, NC 75946",Mendoza-Bush,001-288-586-1413x64291,2025-06-02,Cold Storage,145.9,LPO-000016
RCPT-000017,WH-A,ORD-000017,TDR-7064,SUP-547,2025-07-15,Medical Equipment,Therapeutic,Nebulizer,MED-NEB-4936,Priority,Vial,SQR,LOCAL,BATCH-39100,46,True,True,2027-04-01,PAL-115,LOC-C20,854,160,598,211.27,96,Box,215983.15,Cardboard,92,174,21,28,102312,8,43.31,"Green, Oneill and Rosales","703 Price Knolls, Stevenmouth, SC 40731","Smith, Walters and Ferguson",720-864-6151x57352,2025-07-13,Quarantine,42.82,LPO-000017
RCPT-000018,WH-A,ORD-000018,TDR-9371,SUP-324,2024-01-21,Medical Equipment,Monitoring,Glucometer,MED-GLU-6162,Priority,Pack,SQR,LOCAL,BATCH-51339,15,True,True,2025-12-24,PAL-658,LOC-A37,193,28,165,347.81,0,Carton,76833.44,Plastic,15,185,11,18,36630,10,1.2,"Wright, Johnston and Mendez","294 Jason Crossing, Patriciashire, AR 90065","Collins, Green and Vazquez",(449)372-1512,2024-01-14,Main,130.4,LPO-000018
RCPT-000019,WH-B,ORD-000019,TDR-7061,SUP-303,2024-06-04,Pharmaceuticals,Antivirals,Acyclovir,MED-ACY-5942,Fragile,Pack,CYL,LOCAL,BATCH-24174,76,False,False,2025-01-16,PAL-997,LOC-B30,687,137,504,180.25,46,Carton,143549.45,Cardboard,58,134,38,28,142576,10,41.62,"Gentry, Oconnor and Gutierrez","062 Johnson Route, West Courtney, MH 34938","Davis, Horne and Carlson",285-478-5232,2024-05-31,Quarantine,325.93,LPO-000019
RCPT-000020,WH-C,ORD-000020,TDR-8282,SUP-460,2024-09-11,Consumables,Masks,N95,MED-N95-3620,,Box,SQR,IMPORT,BATCH-50731,38,True,True,2026-12-31,PAL-234,LOC-C26,884,198,535,60.24,151,Piece,62300.42,Plastic,13,15,89,22,29370,3,28.69,Mason LLC,"78974 Margaret Circles, Port Michael, CT 84249",Jones-Rice,(620)952-0759,2024-09-05,Cold Storage,331.0,LPO-000020
RCPT-000021,WH-A,ORD-000021,TDR-6655,SUP-763,2025-04-23,Consumables,Masks,Surgical,MED-SUR-3371,,Bottle,CYL,LOCAL,BATCH-62623,69,False,False,2025-12-07,PAL-376,LOC-A3,722,81,533,232.58,108,Carton,181075.43,Plastic,24,163,14,34,77588,11,38.59,Arnold and Sons,"99499 Heather Overpass, West Jasonside, NY 17260",Savage-Brown,001-816-940-9872x9977,2025-04-22,Quarantine,329.62,LPO-000021
RCPT-000022,WH-C,ORD-000022,TDR-3618,SUP-818,2024-04-05,Consumables,Masks,Surgical,MED-SUR-6996,,Vial,RECT,IMPORT,BATCH-66901,51,False,True,2027-01-11,PAL-727,LOC-B39,35,2,27,316.45,6,Carton,9150.37,Plastic,53,196,99,19,368676,1,27.1,Beck Inc,"61295 Xavier Lodge, Sandrafort, IL 57074",Hall Ltd,276-406-9734,2024-04-04,Cold Storage,172.32,LPO-000022
RCPT-000023,WH-C,ORD-000023,TDR-6837,SUP-319,2025-08-23,Consumables,Gloves,Latex,MED-LAT-8568,Urgent,Piece,IRR,LOCAL,BATCH-16496,50,True,False,2028-06-14,PAL-695,LOC-B2,241,18,204,430.99,19,Carton,114855.52,Plastic,42,87,62,40,215760,10,41.16,"Salazar, Roberts and Wright","USNV Freeman, FPO AP 05278","Jones, Ho and Jones",(687)916-6707,2025-08-19,Dispatch,341.49,LPO-000023
RCPT-000024,WH-A,ORD-000024,TDR-9150,SUP-523,2025-10-23,Medical Equipment,Therapeutic,Oxygen Concentrator,MED-OXY-8804,Fragile,Vial,RECT,IMPORT,BATCH-64181,80,True,True,2027-05-03,PAL-568,LOC-C8,570,58,432,20.57,80,Piece,10697.87,Cardboard,95,138,63,17,147798,17,46.65,"Richardson, Young and Ward","07557 Walker Bridge Suite 861, New Tyler, ME 33965",Brooks-Warren,462.284.7918x282,2025-10-19,Main,268.83,LPO-000024
RCPT-000025,WH-C,ORD-000025,TDR-7968,SUP-793,2024-08-28,Medical Equipment,Therapeutic,Oxygen Concentrator,MED-OXY-5470,Priority,Vial,CYL,LOCAL,BATCH-36587,97,False,False,2026-05-27,PAL-520,LOC-B17,218,3,179,350.78,36,Box,81740.08,Plastic,81,57,50,13,37050,17,37.98,Warren-Marquez,"73369 Kelly Dale, East Aaron, NH 23309",Miller LLC,(927)203-7263,2024-08-22,Main,480.15,LPO-000025
RCPT-000026,WH-B,ORD-000026,TDR-6737,SUP-352,2024-01-09,Pharmaceuticals,Analgesics,Paracetamol,MED-PAR-4043,Priority,Piece,CYL,DONATION,BATCH-69632,89,False,True,2025-12-17,PAL-378,LOC-C47,407,91,311,297.43,5,Box,101765.36,Cardboard,96,88,93,19,155496,20,6.74,"Butler, Houston and Wolfe","820 Anderson Vista, Schultzton, SD 65326",Taylor LLC,001-834-211-4081x35858,2024-01-05,Main,436.04,LPO-000026
RCPT-000027,WH-B,ORD-000027,TDR-1375,SUP-487,2025-05-25,Consumables,Gloves,Latex,MED-LAT-3291,Fragile,Pack,IRR,IMPORT,BATCH-23393,88,False,False,2026-04-27,PAL-746,LOC-B45,957,218,637,361.16,102,Box,392364.56,Plastic,50,154,97,12,179256,18,9.65,Woodward-Archer,"769 Randy Common, Sheriside, FL 45374",Huang Ltd,8363337787,2025-05-21,Dispatch,91.09,LPO-000027
RCPT-000028,WH-C,ORD-000028,TDR-7720,SUP-484,2024-09-05,Medical Equipment,Therapeutic,Nebulizer,MED-NEB-6382,Priority,Bottle,SQR,DONATION,BATCH-28262,2,False,True,2026-09-21,PAL-385,LOC-A9,693,189,480,115.67,24,Piece,67002.76,Plastic,61,76,57,24,103968,14,14.3,"Cook, Goodman and Brown","2015 Maria Brooks Suite 329, Robertshire, NM 19600",Perez Group,+1-735-210-9858,2024-09-02,Main,462.87,LPO-000028
RCPT-000029,WH-A,ORD-000029,TDR-1104,SUP-571,2024-09-21,Consumables,Masks,Surgical,MED-SUR-3954,,Piece,IRR,IMPORT,BATCH-12806,62,False,False,2025-06-26,PAL-536,LOC-A9,723,41,590,152.1,92,Carton,127942.46,Cardboard,84,35,100,10,35000,2,43.52,Mcdaniel and Sons,"73185 Martha Rest Suite 721, Amyborough, VI 46177","Hawkins, Campbell and Kelley",+1-307-747-5285x291,2024-09-19,Quarantine,487.09,LPO-000029
RCPT-000030,WH-C,ORD-000030,TDR-9786,SUP-110,2025-03-02,Medical Equipment,Diagnostic,Thermometer,MED-THE-8714,Refrigerated,Box,RECT,IMPORT,BATCH-93796,93,False,True,2026-01-22,PAL-626,LOC-A47,909,78,655,331.0,176,Box,289203.59,Plastic,97,98,64,21,131712,12,11.25,Woods Ltd,"85482 Maynard Loaf, Kelleychester, OH 88680","Smith, Espinoza and Jones",755.653.4429x72157,2025-02-23,Main,374.01,LPO-000030
RCPT-000031,WH-B,ORD-000031,TDR-1699,SUP-499,2025-09-11,Laboratory,Test Kits,COVID-19,MED-COV-2976,,Box,IRR,IMPORT,BATCH-21362,86,True,True,2026-03-11,PAL-964,LOC-B1,450,2,425,77.16,23,Box,41385.82,Wooden,10,167,83,32,443552,20,45.64,Zhang Group,"974 Perkins Extension, North Ashleyside, OH 12551",Daniel-Johnson,001-791-203-0743x7533,2025-09-07,Dispatch,369.39,LPO-000031
RCPT-000032,WH-B,ORD-000032,TDR-8497,SUP-441,2025-07-24,Consumables,Bandages,Crepe,MED-CRE-3286,Urgent,Bottle,IRR,DONATION,BATCH-64926,36,True,False,2028-06-11,PAL-118,LOC-A29,346,100,201,444.77,45,Box,168934.25,Wooden,18,137,22,45,135630,20,33.94,Davis Ltd,"8709 Kara Expressway Suite 165, East Brenda, PR 06496",Gentry-Ibarra,(824)414-5961x4429,2025-07-17,Main,59.13,LPO-000032
RCPT-000033,WH-A,ORD-000033,TDR-5858,SUP-747,2024-04-15,Consumables,Bandages,Elastic,MED-ELA-2219,Fragile,Box,IRR,IMPORT,BATCH-38063,51,True,True,2025-05-16,PAL-518,LOC-A22,71,6,56,452.79,9,Piece,37886.75,Wooden,33,180,51,16,146880,15,23.52,Lucero-Lucas,"47149 Jeffrey Haven Suite 078, Pedrohaven, CT 04192","Camacho, Cisneros and Kelly",775-274-4904,2024-04-13,Quarantine,164.98,LPO-000033
RCPT-000034,WH-B,ORD-000034,TDR-6540,SUP-113,2024-06-06,Consumables,Masks,Surgical,MED-SUR-9561,Refrigerated,Pack,IRR,IMPORT,BATCH-41222,90,False,False,2026-09-03,PAL-543,LOC-C37,801,72,615,415.13,114,Piece,377705.36,Wooden,15,34,83,13,36686,13,27.96,Savage and Sons,"056 Steven Flat Suite 285, Port Jessicahaven, SC 64326",Johnson LLC,710-228-7401,2024-06-01,Dispatch,473.03,LPO-000034
RCPT-000035,WH-A,ORD-000035,TDR-5510,SUP-595,2025-12-27,Consumables,Syringes,1ml,MED-1ML-3973,Refrigerated,Piece,SQR,IMPORT,BATCH-34585,8,True,True,2026-10-09,PAL-607,LOC-C20,529,87,395,457.73,47,Carton,252457.5,Cardboard,31,153,57,32,279072,12,48.18,Beltran-Jones,"161 Shepherd Inlet, Port Kimberly, AK 59361",Johnson and Sons,972-943-9776x604,2025-12-24,Cold Storage,450.33,LPO-000035
RCPT-000036,WH-B,ORD-000036,TDR-6940,SUP-828,2025-12-24,Laboratory,Reagents,Hematology,MED-HEM-6065,Fragile,Box,IRR,DONATION,BATCH-29483,12,False,True,2028-07-09,PAL-115,LOC-A17,937,106,653,429.52,178,Carton,361274.99,Plastic,80,24,14,14,4704,4,18.52,"Paul, Nielsen and Washington","775 David Roads, South James, WY 33587",Mckenzie-Jensen,+1-339-394-0602x366,2025-12-20,Cold Storage,402.23,LPO-000036
RCPT-000037,WH-C,ORD-000037,TDR-3806,SUP-332,2025-05-02,Consumables,Masks,Cloth,MED-CLO-9057,Refrigerated,Pack,RECT,IMPORT,BATCH-92595,72,True,True,2027-06-29,PAL-347,LOC-A21,419,10,370,112.77,39,Carton,40581.92,Cardboard,10,111,76,8,67488,11,3.26,Harris Inc,"PSC 4889, Box 9659, APO AP 54005",Harris-Ramsey,913-678-9912x879,2025-04-27,Dispatch,410.07,LPO-000037
RCPT-000038,WH-C,ORD-000038,TDR-2401,SUP-804,2025-05-28,Medical Equipment,Monitoring,Pulse Oximeter,MED-PUL-2196,Priority,Vial,CYL,LOCAL,BATCH-68396,3,False,True,2025-12-21,PAL-297,LOC-B18,528,9,516,231.58,3,Piece,117135.16,Wooden,18,41,44,36,64944,14,22.48,"Benson, Morrow and Beck","22768 Guerra Square Apt. 493, Parkerland, WA 14154",Petersen LLC,+1-501-955-8155x2758,2025-05-25,Dispatch,78.81,LPO-000038
RCPT-000039,WH-C,ORD-000039,TDR-3580,SUP-673,2025-03-06,Pharmaceuticals,Antibiotics,Amoxicillin,MED-AMO-8018,Priority,Piece,RECT,LOCAL,BATCH-55124,79,False,True,2025-12-01,PAL-698,LOC-A9,648,167,354,201.24,127,Box,110338.13,Wooden,56,133,44,44,257488,11,29.89,Tucker and Sons,"2398 Levi Highway, Lawrencemouth, IA 35658",Martin-Reid,4794274684,2025-02-27,Dispatch,97.58,LPO-000039
RCPT-000040,WH-A,ORD-000040,TDR-3263,SUP-776,2024-10-03,Consumables,Gloves,Nitrile,MED-NIT-2401,Priority,Piece,CYL,IMPORT,BATCH-83176,36,True,True,2026-04-26,PAL-579,LOC-B46,484,48,405,56.81,31,Carton,26343.34,Wooden,28,100,33,17,56100,11,27.71,Hill-West,"Unit 3752 Box 7073, DPO AA 85727",Kelley LLC,975.500.4296x94617,2024-09-26,Dispatch,323.83,LPO-000040
RCPT-000041,WH-C,ORD-000041,TDR-2237,SUP-275,2025-05-17,Medical Equipment,Diagnostic,BP Monitor,MED-BP -7129,Urgent,Pack,RECT,IMPORT,BATCH-46264,91,False,True,2027-03-27,PAL-946,LOC-A6,148,8,128,384.9,12,Carton,56265.79,Cardboard,94,199,10,41,81590,18,6.05,"Martinez, Conner and Hawkins","Unit 4491 Box 3839, DPO AE 81542",Ball LLC,+1-550-799-3540,2025-05-14,Quarantine,67.88,LPO-000041
RCPT-000042,WH-C,ORD-000042,TDR-3680,SUP-202,2024-05-08,Consumables,Bandages,Gauze,MED-GAU-4755,Refrigerated,Vial,SQR,IMPORT,BATCH-57637,62,False,True,2026-01-18,PAL-878,LOC-C28,91,10,68,324.79,13,Carton,27131.35,Wooden,62,53,59,21,65667,3,16.16,Powers PLC,"8922 Thompson Mount Apt. 228, East Todd, NY 79183",Suarez Group,980.288.8793,2024-05-02,Dispatch,494.26,LPO-000042
